사건번호,제목,내용,유형_규칙
1000509527,이혼한 경우 배우자의 종피보험자 지위,부부형 연금보험에 가입한 후 현재는 이혼한 상태인데 재혼하는 경우에 종피보험자를 변경할 수 있습니까?,보험
1000506058,[성형외과] 지방주입술을 받은 부위가 울퉁불퉁해진 경우의 보상 여부,저는 35세의 가정주부로 양쪽 뺨과 이마가 움푹하여 성형수술을 받기 위해 병원을 찾았습니다. 성형외과의원에서 간단하게 지방을 주입하면 효과를 볼 수 있다고 하여 당일 날 자가지방이식술을 받았는데 별로 달라진 것 같지 않아 3차례 정도 지방을 더 주입하였습니다. 그런데 지방을 주입한 부위가 울퉁불퉁하여 성형시술을 받기 전보다 오히려 보기 싫어 졌습니다. 보상을 받을 수 있을까요?,의료
1000509134,교통 사고와의 관여도에 따라 보험금 삭감,저는 교통상해보험 등 2건의 상해보험에 가입해 유지해 오던 중 교통사고를 당해 추간판팽윤증 경·요추부 염좌 등으로 60일간 입원 치료를 받았습니다. 보험회사는 자문 의사에게 자문을 의뢰한 결과 교통 사고와 입원과의 인과 관계가 10%라는 자문에 따라 청구한 보험금의 10%에 해당하는 보험금만 지급하겠다고 합니다.,보험
1000514847,손해보험을 여러개 가입한 경우 보험사고시 모든 보험에서 수령여부,˝저는 A보험회사의 ˝˝○○운전자보험˝˝에 가입하여 유지하여 오던 중교통사고로 입원치료후 입원비 등 치료비에 관한 보험금을 청구하였으나 A보험회사는 제가 B보험회사의 ˝˝□□운전자보험˝˝에 중복가입하였다는 이유로 보험금을 50%만 지급하겠다고 하고 있습니다.˝,보험
1002909748,전자상거래로 구입한 건강식품의 포장 스티커를 제거했다며 청약철회 권리를 제한하는 경우,인터넷을 통해 건강기능식품을 구매한 후 제품을 수령했는데 급하게 제품 포장에 부착되어 있는 스티커만 제거한 상태에서 개봉도 하지 않고 반품했더니 스티커에 “제거 시 청약철회가 불가합니다”라는 내용이 적혀 있었다며 반품 자체를 거부합니다. 이 경우 청약철회가 안되는 건가요?,통신·인터넷
1000909776,[내과] 정맥주사 후 피부가 괴사된 경우 보상 가능여부,69세 여성으로 고열이 나서 종합병원 응급실을 방문하였습니다. 검사결과 신우신염으로 진단받고 좌측 다리에 정맥으로 항생제 주사를 맞았으나 다음 날 주사부위가 부어 제거하게 되었습니다. 그런데 해당 부위의 피부색이 검붉은 색으로 변하면서 결국 피부가 괴사되어 피부이식술까지 받아야 했고 현재 반흔이 남아 향후 성형술이 필요하다는 소견을 들었습니다. 이런 경우 병원측에 보상을 요구할 수 있을까요?,의료
1000926143,전화사기에 속아 이체한 예금 반환 요구,어제 전화로 개인정보가 유출되어 예금이 인출될 위험이 있으니 지금 당장 안전한 다른 계좌로 이체를 시켜 놓으라는 말에 속아 알려주는 계좌로 예금 550만원을 전부 이체시켰습니다. 이체 시키고 1시간쯤 후에 속은 것을 알게 되어 은행에 예금의 반환을 요청하였으나 예금주가 동의하지 않으면 안 된다고 하는데 잘못 이체된 예금을 찾을 수 있는 방법이 무엇인지요?,기타
1001359846,전자상거래로 구입한 사이즈가 맞지 않는 코트 환급 요구,전자상거래를 통해 인터넷 쇼핑몰에서 85000원 상당의 코트를 구입하였습니다. 이후 배송된 제품을 착용하여 보니 쇼핑몰에서 설명한 사이즈가 맞지 않아 반품을 요구하였으나 판매자는 소재의 특성상 반품이 불가함을 미리 고지하였다며 거절하고 있습니다.분명 사이즈가 맞지 않음에도 불구하고 단순하게 반품 불가를 고지하였다는 이유만으로 보상을 받을 수 없는 건지 궁금합니다.,통신·인터넷
1001360312,세탁기 세탁 후 흰줄이 가는 바지 교환 문의,짙은 감청색 면바지를 취급표시대로 세탁기로 세탁 후 바지의 길이 방향으로 흰줄이 생겼습니다. 제조처에 문의하니 세탁과실이라며 보상을 거부합니다. 보상받고 싶습니다.,기타
1001360120,세탁 의뢰 후 분실된 신사복 하의 보상 요구,76000원에 구입하여 착용하던 신사복 바지를 세탁소에 드라이클리닝을 의뢰하였습니다. 제품을 수령한 후 보관하다가 착용하기 위해 꺼내보니 바지 사이즈가 32인치가 아닌 38인치로 타인의 세탁물과 뒤바뀐 것을 알게 되어 세탁소에 이의를 제기하였으나 세탁소에서는 세탁물을 인도한지 오래되어 확인이 어렵다며 보상을 거부하고 있습니다..,기타
1001518580,전자상거래로 구입한 의류 반품 가능 여부 문의,의류 전문 판매사이트에서 여성용 흰색 블라우스와 반팔 셔츠를 주문하여 제품이 배송 되었으나 색상 디자인 등이 만족스럽지 못하고 품질이 떨어져 반품코자 한 바 의류 광고 공지사항에 반품이 불가능 하다는 사실을 고지하였으므로 환급을 할 수 없다고 합니다. 그러나 의류 광고상에는 공지사항이 게재되어 있지 아니하고 별도 화면을 클릭 하여야만 확인 가능합니다.의류를 구입하여 훼손시키지 않은 상태인데도 반품이 가능한가요?,기타
1001911777,아파트에 단체화재보험이 가입되어 있는 경우 개별 세대에서 별도의 화재보험을 가입해야하는지 여부,제가 소유 및 거주하고 있는 아파트는 입주자대표회의에서 단체화재보험에 가입되어 있습니다. 이 경우 굳이 각 세대별로 보험료를 추가로 부담하면서 개별 화재보험을 가입해야 하나요?,보험
1001912410,[신경외과] 추간판돌출증 수술 후 족하수 발생 건,허리 통증과 양쪽 다리의 감각이상으로 진료를 받았고 4 5번 요추의 추간판탈출증과 척추 협착증으로 진단되어 요추 전방 감압술과 유합술을 받은 후 오른쪽 족하수 증상이 생겼습니다. 증상이 계속되어 다른 병원에서 검사한 결과 축삭손상이 있는 4번 요추 1번 천추의 신경근병증으로 후유장해 진단을 받았는데 이런 경우 보상 받을 수 있을까요?,의료
1001901173,경유차량에 휘발유가 주유되어 엔진이 손상된 경우,사용연료가 경유 전용인 스타렉스 차량에 주유를 받는 과정에서 휘발유를 잘못 주유하여 엔진이 소착되는 등의 피해를 입었는데 이에 관한 보상을 요구할 수 있는 지요. 요구가 가능하다면 어느 정도까지 보상받을 수 있나요?,자동차
